date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:07	139212/139212	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202019%2009:45:52%20GMT	http://ledthanhdat.vn/html/vereesa/	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/index.html	(from )
14:20:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jan%202024%2008:50:10%20GMT	http://ledthanhdat.vn/robots.txt		(from )
14:20:11	865/865	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Sep%202019%2008:32:02%20GMT	http://ledthanhdat.vn/html/vereesa/assets/images/favicon.png	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/images/favicon.png	(from http://ledthanhdat.vn/html/vereesa/)
14:20:12	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2008:53:28%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/bootstrap.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/bootstrap.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:12	3821/3821	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Jun%202017%2009:31:24%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/owl.carousel.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/owl.carousel.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:13	56869/56869	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202017%2004:31:44%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/animate.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/animate.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:13	35982/35982	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202019%2001:16:30%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/jquery-ui.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/jquery-ui.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:21	10328/10328	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202017%2010:20:18%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/chosen.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/chosen.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:21	9742/9742	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Nov%202014%2003:11:44%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/pe-icon-7-stroke.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/pe-icon-7-stroke.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:21	5967/5967	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Jun%202017%2009:31:30%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/magnific-popup.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/magnific-popup.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:22	790/790	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Aug%202016%2008:31:08%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/lightbox.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/lightbox.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:22	4895/4895	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Aug%202016%2015:28:50%20GMT	http://ledthanhdat.vn/html/vereesa/assets/js/fancybox/source/jquery.fancybox.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/js/fancybox/source/jquery.fancybox.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:22	43283/43283	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Apr%202018%2002:55:20%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/jquery.scrollbar.min.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/jquery.scrollbar.min.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:22	4801/4801	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202019%2009:08:48%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/mobile-menu.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/mobile-menu.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:23	241629/241629	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202019%2013:30:06%20GMT	http://ledthanhdat.vn/html/vereesa/assets/css/style.css	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/css/style.css	(from http://ledthanhdat.vn/html/vereesa/)
14:20:25	139212/139212	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202019%2009:45:52%20GMT	http://ledthanhdat.vn/html/vereesa/index.html	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/index-2.html	(from http://ledthanhdat.vn/html/vereesa/)
14:20:25	1941/1941	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Sep%202019%2008:40:36%20GMT	http://ledthanhdat.vn/html/vereesa/assets/images/logo.png	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/images/logo.png	(from http://ledthanhdat.vn/html/vereesa/)
14:20:26	1290/1290	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Aug%202019%2001:53:10%20GMT	http://ledthanhdat.vn/html/vereesa/assets/images/item-minicart-1.jpg	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/images/item-minicart-1.jpg	(from http://ledthanhdat.vn/html/vereesa/)
14:20:27	1785/1785	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Aug%202019%2002:06:54%20GMT	http://ledthanhdat.vn/html/vereesa/assets/images/item-minicart-2.jpg	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/images/item-minicart-2.jpg	(from http://ledthanhdat.vn/html/vereesa/)
14:20:27	1066/1066	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Aug%202019%2002:07:02%20GMT	http://ledthanhdat.vn/html/vereesa/assets/images/item-minicart-3.jpg	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/assets/images/item-minicart-3.jpg	(from http://ledthanhdat.vn/html/vereesa/)
14:20:29	52816/52816	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Sep%202019%2006:09:18%20GMT	http://ledthanhdat.vn/html/vereesa/checkout.html	C:/Users/ranve/Documents/Right%20Angle/original%20template/ledthanhdat.vn/html/vereesa/checkout.html	(from http://ledthanhdat.vn/html/vereesa/)
